證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1905,1152175,260,10645154,9.27,9.27,9.2,9.26,0.02,9.26,66,9.27,9,28.94
1906,80149,32,988477,12.3,12.4,12.3,12.4,0.05,12.3,9,12.4,10,9.69
1907,627179,385,7299714,11.7,11.7,11.55,11.6,0.05,11.6,22,11.65,16,12.34
1909,2073959,848,28067143,13.55,13.6,13.5,13.5,0.1,13.5,54,13.55,40,337.5
2002,8395919,3848,192622087,23.0,23.05,22.9,22.9,0.15,22.9,438,22.95,253,17.35
2002A,12020,11,598398,49.85,49.9,49.6,49.9,0.05,49.7,2,49.9,1,0.0
2006,1371983,611,29404332,21.55,21.65,21.2,21.45,0.15,21.45,7,21.5,26,20.83
2007,20968,20,97441,4.72,4.72,4.58,4.6,0.05,4.59,3,4.6,7,0.0
2008,4393,5,54214,12.35,12.35,12.35,12.35,0.0,12.35,46,12.4,7,0.0
2009,64098,31,606844,9.47,9.49,9.46,9.49,0.04,9.48,2,9.49,2,316.33
2010,177382,67,1810696,10.2,10.25,10.15,10.2,0.0,10.15,132,10.2,25,34.0
2012,14199,13,279890,19.75,19.75,19.65,19.65,0.1,19.7,1,19.75,1,11.42
2013,371590,218,9369769,25.4,25.65,24.85,24.95,0.55,24.95,13,25.0,3,43.77
2014,5826323,1564,53820561,9.35,9.38,9.12,9.12,0.33,9.12,38,9.19,32,7.18
2015,359462,344,18636824,52.0,52.3,51.6,51.6,0.4,51.6,87,51.9,15,11.14
2017,175707,72,1155365,6.66,6.66,6.55,6.56,0.04,6.55,25,6.56,2,93.71
2020,101342,43,1464024,14.45,14.6,14.4,14.45,0.1,14.45,4,14.5,9,8.98
2022,434439,1073,2556014,5.89,5.9,5.87,5.89,0.01,5.88,27,5.89,23,0.0
2023,674064,404,6153488,9.13,9.16,9.09,9.14,0.03,9.13,6,9.14,1,0.0
2024,156000,38,1886650,12.1,12.2,12.05,12.05,0.05,12.05,20,12.1,3,26.78
2025,272777,39,446820,1.63,1.68,1.63,1.63,0.07,1.63,84,1.69,2,0.0
2027,3011812,1680,100820048,33.75,33.75,33.15,33.2,0.6,33.2,239,33.3,7,8.45
2028,507200,46,4667572,9.23,9.23,9.1,9.19,0.02,9.19,1,9.21,12,8.21
2029,92512,41,1847037,19.9,20.1,19.85,20.0,0.25,19.95,14,20.0,21,80.0
2030,319276,128,4186527,13.15,13.25,13.05,13.2,0.05,13.2,30,13.25,10,11.0
2031,406079,232,11364051,28.0,28.1,27.9,27.9,0.25,27.9,12,28.0,13,126.82
2032,16087,4,149459,9.29,9.29,9.29,9.29,0.01,9.2,2,9.25,10,103.22
2033,50000,22,443950,8.85,8.95,8.85,8.86,0.05,8.86,7,8.92,5,110.75
2034,426498,195,11186470,26.2,26.3,26.15,26.25,0.2,26.25,33,26.3,5,13.67
2038,41000,21,300580,7.32,7.41,7.3,7.4,0.02,7.32,2,7.41,11,0.0
2049,1660447,1481,422732432,252.0,256.5,250.5,254.5,0.5,254.5,53,255.0,20,18.89
2059,198062,165,72713692,368.5,368.5,366.0,367.0,1.0,367.0,6,368.0,4,20.77
2062,174000,136,5170550,29.95,30.0,29.5,29.5,0.45,29.5,7,29.6,20,44.03
2069,146000,66,2926250,20.0,20.1,20.0,20.05,0.15,20.05,16,20.15,13,3.89
2101,5671852,2867,288748124,50.4,51.6,50.0,51.2,1.0,51.1,6,51.2,122,66.49
2102,3174985,820,39430958,12.15,12.65,12.15,12.55,0.4,12.5,35,12.55,21,0.0
2103,723234,444,17403191,24.1,24.2,23.9,24.05,0.0,24.05,9,24.15,12,16.82
2104,1134950,808,37089074,32.7,32.8,32.55,32.6,0.15,32.6,70,32.65,12,11.64
2105,6590185,1699,296715245,45.0,45.3,44.9,44.9,0.25,44.85,85,44.9,7,39.73
2106,855599,609,26375896,30.6,31.15,30.5,30.8,0.1,30.8,19,30.9,20,33.12
2107,239806,133,4321158,18.1,18.1,18.0,18.05,0.1,18.0,88,18.05,48,16.87
2108,638203,387,19800993,31.35,31.35,30.95,31.0,0.35,31.0,2,31.05,1,9.06
2109,41001,22,453611,11.05,11.1,11.05,11.05,0.05,11.0,17,11.05,9,0.0
2114,13600,18,1135656,83.7,83.7,83.0,83.0,0.7,83.0,5,83.7,5,14.04
2115,23050,13,920595,39.8,40.1,39.7,39.9,0.0,39.7,1,40.0,9,13.85
2201,4642969,1690,88270198,19.2,19.2,18.95,18.95,0.3,18.95,360,19.0,5,0.0
2204,749408,641,31896701,42.6,43.3,42.2,42.85,0.15,42.85,7,42.95,2,38.6
2206,369272,152,7647804,20.7,20.8,20.65,20.7,0.0,20.7,5,20.75,122,6.14
2207,637596,404,297161756,466.0,475.0,464.0,464.0,6.5,464.0,20,466.0,1,24.59
2208,334078,204,8736175,26.2,26.25,26.0,26.2,0.0,26.15,7,26.2,73,0.0
2227,46859,55,11514102,246.5,246.5,245.5,245.5,1.0,245.5,7,246.0,1,12.22
2228,543001,456,68577626,126.5,128.0,125.0,125.0,1.0,125.0,13,125.5,3,17.03
2231,218834,221,55142249,253.0,255.0,250.5,250.5,3.5,250.5,10,251.0,1,27.44
2233,164016,135,11653832,71.5,71.5,70.9,70.9,0.7,70.9,14,71.0,3,11.78
2236,18003,16,417919,23.3,23.3,23.1,23.2,0.4,23.2,4,23.35,1,12.41
2239,42200,39,4077439,96.5,97.3,95.5,97.2,0.2,96.7,1,97.2,3,14.25
2243,40000,19,594950,15.1,15.1,14.65,14.95,0.0,14.85,6,14.95,7,0.0
2301,4541967,2795,220167483,48.55,48.8,48.3,48.3,0.8,48.3,228,48.35,6,12.45
2302,63127,31,495640,7.81,7.91,7.81,7.84,0.01,7.84,5,7.89,3,37.33
2303,38292987,6433,506198878,13.35,13.35,13.15,13.15,0.2,13.15,2217,13.2,249,52.6
2305,98998,45,597078,6.1,6.1,6.02,6.02,0.05,6.02,1,6.03,10,0.0
2308,16298343,8186,2090725024,130.0,130.0,127.0,127.0,4.5,127.0,733,127.5,12,13.17
2312,3376588,606,36202058,10.9,10.9,10.6,10.75,0.2,10.7,131,10.75,25,18.86
2313,38247639,14857,1490279750,39.0,39.65,38.45,38.6,0.35,38.6,2,38.65,48,19.79
2314,783350,443,17963063,23.05,23.15,22.8,22.9,0.25,22.9,37,22.95,2,109.05
2316,6610929,4317,285576652,44.55,45.55,42.25,42.25,3.3,42.25,74,42.3,14,17.98
2317,18869984,7885,1382827132,73.5,73.8,72.9,72.9,1.1,72.9,474,73.0,17,8.13
2321,41541,17,68304,1.63,1.66,1.63,1.66,0.02,1.65,5,1.72,26,0.0
2323,9035926,2858,102396301,11.5,11.6,11.2,11.25,0.25,11.2,626,11.25,11,13.24
2324,11291392,3547,200452011,17.85,17.85,17.7,17.7,0.15,17.7,4098,17.75,86,8.98
2327,21959611,15991,6532397533,295.5,305.0,292.0,301.5,3.0,301.0,84,301.5,12,5.62
2328,2794853,1110,64736919,23.1,23.35,22.9,23.0,0.25,23.0,15,23.05,18,10.5
2329,16442661,5236,268071498,17.35,17.45,15.8,16.0,1.3,16.0,442,16.05,10,27.59
2330,34895456,14567,9890256397,283.5,286.0,282.0,282.0,4.5,282.0,517,282.5,111,23.06
2331,333144,154,4311598,12.95,13.0,12.9,12.95,0.1,12.9,35,12.95,12,0.0
2332,1419462,495,16585725,11.6,11.75,11.55,11.7,0.05,11.7,50,11.75,67,0.0
2337,72016735,22885,2307907420,32.4,32.45,31.8,31.9,0.75,31.9,624,31.95,86,11.31
2338,4282094,2318,138903212,33.2,33.2,32.05,32.55,0.4,32.5,16,32.55,41,72.33
2340,2527669,1548,61760119,24.65,24.8,24.15,24.3,0.3,24.3,13,24.4,3,17.87
2342,152689,115,2929182,19.4,19.4,19.1,19.2,0.2,19.2,2,19.25,20,0.0
2344,42984641,11185,733077342,17.5,17.55,16.9,16.9,0.7,16.9,3908,16.95,23,14.7
2345,8970848,5579,1642880532,179.0,185.0,178.5,185.0,5.0,184.5,2,185.0,126,27.25
2347,3675745,1618,133859690,36.5,36.75,36.2,36.2,0.65,36.2,117,36.3,121,9.92
2348,878013,494,42718967,49.4,49.6,47.85,47.85,0.65,47.85,12,47.9,11,8.93
2349,4451052,1328,37850235,8.62,8.66,8.45,8.45,0.17,8.45,422,8.46,5,0.0
2351,386643,282,23359743,61.5,61.6,60.0,60.1,1.5,60.1,15,60.3,1,14.73
2352,6041837,1922,132832410,21.9,22.1,21.8,22.05,0.15,22.0,18,22.05,274,10.4
2353,4274881,1768,74220719,17.45,17.5,17.3,17.3,0.15,17.3,373,17.35,194,20.35
2354,2984069,1941,189208240,63.8,64.2,63.0,63.0,1.5,63.0,47,63.3,4,9.75
2355,741665,467,22292664,30.25,30.3,30.0,30.0,0.35,30.0,168,30.05,22,14.85
2356,8323531,3091,179857774,21.75,21.8,21.5,21.55,0.3,21.5,541,21.55,43,12.75
2357,695979,616,140199779,202.5,203.0,200.5,200.5,2.0,200.5,79,201.0,13,33.93
2358,43293,37,707725,16.3,16.85,16.25,16.4,0.1,16.35,5,16.4,6,65.6
2359,317005,135,6549403,20.8,20.95,20.55,20.75,0.05,20.65,14,20.75,4,10.7
2360,1742662,1361,260553800,148.5,150.5,147.5,149.0,3.0,148.5,58,149.0,12,33.41
2362,237987,182,7328749,30.95,30.95,30.6,30.6,0.15,30.6,13,30.75,1,18.66
2363,873203,257,7023024,8.07,8.08,8.03,8.03,0.06,8.03,13,8.05,40,0.0
2364,50209,12,135413,2.7,2.7,2.68,2.7,0.0,2.68,13,2.7,9,0.0
2365,163526,69,1321508,8.1,8.11,8.05,8.11,0.02,8.1,1,8.11,8,73.73
2367,67001445,25291,2382882051,35.55,36.35,35.0,35.1,0.05,35.1,183,35.15,49,17.82
2368,4348000,1188,59602748,13.8,13.9,13.6,13.6,0.15,13.6,193,13.65,89,0.0
2369,463021,200,4225841,9.11,9.18,9.09,9.15,0.0,9.15,24,9.16,36,0.0
2371,3561153,1121,59476029,16.65,16.8,16.6,16.75,0.1,16.7,123,16.75,79,0.0
2373,15248,19,1419012,93.0,93.1,93.0,93.1,0.1,93.0,6,93.5,2,13.96
2374,2930988,1345,50240646,16.7,17.3,16.7,17.05,0.25,17.0,16,17.05,11,0.0
2375,8380486,4305,350750621,42.3,42.9,40.65,42.2,0.3,42.2,4,42.25,3,140.67
2376,3861441,2579,191287793,49.5,49.9,49.3,49.35,0.35,49.35,28,49.4,13,30.84
2377,3221374,2064,284873067,89.0,89.3,88.1,88.3,1.6,88.3,19,88.4,45,15.71
2379,4355376,2651,1007121658,233.0,236.0,229.5,230.5,3.0,230.5,4,231.0,27,20.43
2380,262455,92,1108923,4.2,4.3,4.19,4.29,0.06,4.2,5,4.29,1,0.0
2382,5289295,2773,288858484,55.1,55.1,54.4,54.4,0.6,54.4,214,54.5,97,13.14
2383,8344325,5489,1021280800,123.0,125.5,119.5,124.0,1.0,123.5,82,124.0,6,17.82
2385,1611241,1111,149089014,93.0,93.2,91.7,92.2,1.0,92.1,20,92.2,52,12.41
2387,8598470,5110,329078913,37.7,38.95,37.5,38.35,1.05,38.35,73,38.6,7,36.52
2388,687563,439,23027988,33.75,34.1,33.2,33.4,0.35,33.35,1,33.4,8,371.11
2390,1003253,458,11142194,11.2,11.25,11.0,11.05,0.15,11.05,67,11.1,41,0.0
2392,30960244,14822,1235747533,38.9,40.5,38.9,40.5,2.0,40.45,2,40.5,183,10.74
2393,1459191,939,39341857,27.35,27.35,26.85,26.85,0.5,26.85,34,26.95,4,15.79
2395,437663,383,122506977,282.0,285.5,279.0,279.0,5.0,279.0,13,279.5,1,28.44
2397,23163,21,1872536,81.2,81.4,80.6,80.6,1.0,80.5,1,80.6,5,14.32
2399,680551,236,7239817,10.7,10.75,10.55,10.65,0.1,10.6,39,10.65,20,0.0
2401,1453311,635,19917492,13.8,13.9,13.6,13.7,0.1,13.65,17,13.7,29,228.33
2402,655060,286,11109655,17.1,17.15,16.85,16.85,0.2,16.85,36,16.9,3,20.3
2404,775058,570,125740954,162.0,163.0,161.0,163.0,2.0,162.5,1,163.0,66,10.35
2405,9593123,3278,121702410,12.2,13.15,12.2,12.8,0.65,12.75,226,12.8,106,0.0
2406,1182552,403,8321004,7.08,7.1,7.0,7.02,0.09,7.02,15,7.03,6,0.0
2408,50835812,22261,3722567948,74.7,75.1,71.4,71.4,7.2,71.4,136,71.6,3,8.02
2409,39907575,5242,317200388,7.97,8.04,7.89,7.89,0.13,7.89,900,7.9,3,0.0
2412,4920025,2849,551417756,112.0,112.5,111.5,111.5,1.0,111.5,690,112.0,80,25.57
2413,190001,113,3313767,17.9,17.9,17.2,17.2,0.55,17.2,57,17.4,26,0.0
2414,135660,56,2994751,22.1,22.2,22.0,22.2,0.05,22.1,2,22.2,9,13.45
2415,79520,36,1591798,20.2,20.2,20.0,20.0,0.0,20.0,27,20.1,3,27.4
2417,268000,89,2778400,10.4,10.4,10.3,10.35,0.1,10.35,100,10.4,4,103.5
2419,412818,219,7808654,18.95,19.1,18.85,18.9,0.15,18.85,29,18.9,11,19.29
2420,145146,97,4981786,34.3,34.5,34.25,34.3,0.0,34.3,4,34.35,4,9.74
2421,3058501,1970,112937611,37.4,37.7,36.55,36.8,0.8,36.8,4,36.85,1,16.5
2423,485647,323,12915995,26.2,26.85,26.2,26.65,0.6,26.65,22,26.7,41,11.95
2424,2000,2,56550,28.3,28.3,28.25,28.25,0.0,28.2,6,29.0,1,0.0
2425,128600,85,3421169,26.35,26.9,26.35,26.45,0.15,26.45,4,26.5,3,20.83
2426,1284449,633,19241336,15.25,15.25,14.85,14.9,0.35,14.9,19,14.95,1,30.41
2427,70000,26,740350,10.55,10.65,10.5,10.6,0.0,10.55,81,10.6,23,16.83
2428,233390,196,18803095,80.5,81.1,80.1,80.1,1.5,80.1,9,80.2,2,9.51
2429,133345,73,2945028,20.65,22.55,20.65,22.55,2.05,22.55,214,,0,0.0
2430,67197,49,1145088,17.1,17.1,16.95,17.0,0.1,17.0,4,17.05,2,18.89
2431,857060,447,9811979,11.8,11.8,11.3,11.3,0.55,11.3,23,11.4,1,0.0
2433,206608,135,10011998,48.5,48.5,48.3,48.35,0.15,48.35,2,48.45,1,11.74
2434,19111,13,112469,6.0,6.09,5.42,6.09,0.09,6.09,2,6.1,10,0.0
2436,574538,401,15116405,26.6,26.6,26.2,26.2,0.55,26.2,22,26.25,17,32.75
2438,45430,11,272685,6.02,6.04,6.0,6.0,0.01,5.9,1,6.0,1,0.0
2439,2945318,2127,445207853,150.0,153.0,149.5,150.0,1.0,150.0,256,150.5,3,9.52
2440,3002,4,23764,7.9,7.95,7.9,7.95,0.05,7.9,3,7.95,11,0.0
2441,353095,263,14839796,42.2,42.3,41.9,42.25,0.15,42.0,14,42.25,3,12.43
2442,724179,293,8815626,12.2,12.25,12.15,12.2,0.0,12.15,29,12.2,44,2.95
2443,124648,63,317567,2.55,2.57,2.52,2.56,0.01,2.54,1,2.56,6,0.0
2444,3584343,639,77645124,21.5,21.85,21.1,21.75,0.25,21.5,7,21.75,14,0.0
2448,12455596,4680,307198719,24.85,24.9,24.5,24.5,0.7,24.5,170,24.55,272,0.0
2449,8182035,4312,286114425,35.2,35.25,34.75,35.0,0.6,34.95,84,35.0,87,20.83
2450,50000,42,1525900,30.5,30.6,30.5,30.5,0.1,30.5,13,30.6,4,24.21
2451,565573,388,37444472,66.0,66.5,65.7,65.8,0.4,65.8,14,66.2,11,16.92
2453,620835,315,10180177,16.3,16.55,16.3,16.3,0.2,16.3,1,16.35,3,16.63
2454,8426727,6485,3163185625,382.0,382.5,372.0,372.0,12.5,372.0,95,372.5,3,28.66
2455,13811092,9031,1580149846,109.0,117.5,108.5,112.5,2.5,112.5,182,113.0,5,54.61
2456,3112619,2421,258847189,83.3,84.4,82.4,82.9,0.9,82.8,42,82.9,5,8.14
2457,216901,76,1843032,8.52,8.54,8.45,8.46,0.06,8.46,4,8.5,1,0.0
2458,4862400,3247,436301800,90.6,90.6,89.1,89.1,1.5,89.1,33,89.5,3,14.85
2459,34122,28,1280693,37.55,37.65,37.5,37.65,0.1,37.55,3,37.65,1,9.23
2460,111479,41,1032336,9.35,9.35,9.24,9.26,0.06,9.26,4,9.29,1,0.0
2461,1409201,619,32310170,23.3,23.35,22.75,22.75,0.45,22.75,16,22.9,9,52.91
2462,282384,144,8099586,28.95,29.15,28.25,29.15,0.2,29.05,2,29.15,3,24.29
2464,796895,567,29452241,36.8,37.1,36.8,36.9,0.5,36.9,22,36.95,10,7.69
2465,210500,120,2335950,11.2,11.25,11.0,11.1,0.0,11.05,12,11.1,16,0.0
2466,80000,44,2579200,32.1,32.3,32.1,32.3,0.05,32.1,2,32.35,3,111.38
2467,441601,284,10789212,24.45,24.7,24.3,24.55,0.2,24.5,3,24.55,14,7.24
2468,35000,23,437900,12.5,12.55,12.5,12.5,0.15,12.5,1,12.55,5,21.19
2471,462520,254,8925229,19.6,19.65,19.15,19.25,0.4,19.2,17,19.3,1,11.81
2472,247000,186,10462500,42.1,42.7,42.0,42.35,0.0,42.35,4,42.4,2,10.89
2474,7996358,5469,2034145716,258.0,258.5,252.0,252.0,8.0,252.0,112,252.5,7,10.84
2476,50600,44,1202549,23.85,23.95,23.7,23.7,0.1,23.7,2,23.8,1,11.73
2477,64200,52,1536789,24.0,24.15,23.85,23.85,0.25,23.85,3,24.0,1,15.19
2478,2517714,1838,118562848,47.4,47.65,46.6,46.7,0.2,46.7,17,46.9,4,7.68
2480,351530,245,18869164,53.4,54.1,53.4,53.7,0.3,53.7,5,53.8,2,13.23
2481,2147878,1398,57803606,26.75,27.35,26.2,27.0,0.15,27.0,67,27.05,4,14.84
2482,785142,342,10663467,13.95,14.0,13.5,13.5,0.3,13.5,3,13.55,1,40.91
2483,136000,57,2721700,20.15,20.15,19.95,20.0,0.1,20.0,19,20.05,13,10.42
2484,668084,296,13400346,20.25,20.25,19.95,20.0,0.25,20.0,12,20.1,2,15.5
2485,5733913,2403,138370677,24.3,24.4,23.85,23.85,0.55,23.85,33,23.95,5,29.81
2486,224702,78,1816292,8.18,8.18,8.03,8.11,0.01,8.08,6,8.11,4,0.0
2488,375300,198,12286478,32.8,32.8,32.35,32.5,0.35,32.5,10,32.55,6,8.0
2489,575209,212,6582579,11.55,11.55,11.4,11.45,0.1,11.45,12,11.5,32,38.17
2491,65976,56,671451,10.4,10.4,10.05,10.3,0.0,10.3,1,10.35,2,0.0
2492,18845253,11456,3431430293,181.0,185.0,179.0,180.0,1.0,180.0,297,180.5,4,4.9
2493,58774,50,1635301,27.85,27.85,27.8,27.85,0.0,27.8,4,27.85,3,9.47
2495,453001,261,6760864,14.7,15.1,14.65,14.95,0.25,14.9,12,14.95,3,16.99
2496,5030,6,331483,66.5,66.5,65.5,65.5,1.0,65.3,1,65.9,1,11.63
2497,85082,62,2127808,25.15,25.15,24.85,25.1,0.2,25.0,1,25.1,9,0.0
2498,8516754,3975,324258052,38.3,38.6,37.7,37.7,0.55,37.7,14,37.75,12,0.0
2499,3953847,1334,24391138,6.15,6.27,6.04,6.22,0.07,6.22,14,6.23,1,0.0
2501,667599,527,13518766,20.4,20.45,20.1,20.15,0.25,20.15,14,20.25,2,7.44
2504,55081400,8979,572003292,9.73,10.65,9.73,10.65,0.93,10.65,1087,,0,25.36
2505,1140511,375,15948248,13.8,14.25,13.65,13.85,0.05,13.85,12,13.9,1,106.54
2506,16068,15,180710,11.25,11.25,11.25,11.25,0.05,11.25,3,11.3,7,21.63
2509,54743,47,1353810,24.75,24.85,24.65,24.65,0.25,24.65,2,24.75,1,3.11
2511,396469,216,4348078,10.95,11.0,10.95,10.95,0.0,10.95,16,11.0,60,13.04
2514,103134,73,1587119,15.35,15.45,15.35,15.45,0.05,15.4,8,15.5,52,8.54
2515,5524191,1157,42758540,7.72,7.78,7.7,7.74,0.0,7.74,29,7.75,10,55.29
2516,17838,6,105523,5.92,5.92,5.91,5.92,0.0,5.93,3,5.95,1,17.94
2520,2135834,581,61111168,28.35,28.75,28.25,28.75,0.5,28.45,2,28.75,10,14.67
2524,147285,91,4051120,28.65,28.65,27.35,27.35,0.35,27.35,1,27.5,62,9.77
2527,36000,27,809400,22.5,22.55,22.4,22.5,0.0,22.4,12,22.5,9,8.15
2528,155525,69,3255070,20.9,21.05,20.8,21.0,0.1,20.9,30,21.0,9,0.0
2530,13305,14,213330,15.9,16.1,15.9,16.1,0.2,16.0,1,16.1,3,0.0
2534,2102271,817,42656226,20.15,20.45,20.15,20.2,0.05,20.2,171,20.25,1,13.12
2535,703442,246,14078740,20.05,20.1,19.95,20.05,0.05,20.0,9,20.05,70,10.78
2536,148500,73,3070299,20.65,20.8,20.55,20.75,0.1,20.7,1,20.75,11,23.31
2537,427896,180,3483094,8.18,8.24,8.1,8.15,0.03,8.14,34,8.15,7,0.0
2538,522752,188,6180270,11.9,11.95,11.75,11.8,0.15,11.8,60,11.85,6,295.0
2539,179491,60,5231839,29.4,29.4,29.0,29.0,0.05,29.0,10,29.15,13,17.79
2540,33105,14,761217,23.0,23.25,22.9,22.95,0.0,22.95,2,23.15,1,32.32
2542,3224305,1801,146671434,45.4,45.65,45.3,45.3,0.1,45.3,129,45.45,4,9.78
2543,7499,7,54942,7.26,7.58,7.26,7.53,0.18,7.35,1,7.53,1,0.0
2545,90129,55,2753384,30.5,30.6,30.5,30.6,0.0,30.55,2,30.6,25,18.32
2546,35414,35,1253176,35.45,35.45,35.3,35.45,0.0,35.45,3,35.5,2,7.59
2547,1001278,522,12101739,12.2,12.2,12.0,12.05,0.15,12.05,7,12.1,5,5.26
2548,2174185,1465,179630462,81.9,83.4,81.7,83.1,1.3,83.1,1,83.2,57,25.81
2597,20002,17,1110111,55.6,55.6,55.4,55.6,0.1,55.5,3,55.6,6,12.41
2601,3511027,674,41992464,11.8,12.05,11.8,11.9,0.05,11.9,5,11.95,74,5.61
2603,7773731,1894,98224595,12.65,12.75,12.6,12.7,0.0,12.65,119,12.7,669,35.28
2605,3286294,1121,55693790,16.55,17.25,16.55,16.85,0.3,16.85,46,16.9,2,0.0
2606,3641634,1371,121974669,33.25,33.85,32.9,33.55,0.55,33.55,1,33.6,12,26.42
2607,1767298,372,24464010,13.6,14.0,13.6,13.85,0.25,13.8,15,13.85,14,15.39
2608,47628,53,1738394,36.75,36.75,36.15,36.25,0.5,36.25,1,36.55,22,13.04
2609,2224871,419,16708625,7.55,7.59,7.48,7.48,0.07,7.48,19,7.52,2,0.0
2610,4646509,1795,42188345,9.11,9.13,9.06,9.06,0.05,9.06,144,9.08,38,53.29
2611,69000,18,502750,7.28,7.31,7.25,7.26,0.04,7.26,1,7.29,2,12.96
2612,214015,159,6751768,31.45,31.7,31.4,31.5,0.15,31.5,5,31.55,2,12.07
2613,33003,14,443139,13.45,13.5,13.4,13.45,0.05,13.45,2,13.5,4,134.5
2614,507995,247,5250341,10.45,10.45,10.3,10.35,0.05,10.3,73,10.35,32,0.0
2615,2861569,1098,50704334,17.75,17.85,17.5,17.8,0.05,17.6,14,17.8,26,16.04
2616,518063,30,15334220,29.55,29.65,29.5,29.6,0.0,29.6,2,29.65,2,15.83
2617,362200,229,6821388,18.75,18.9,18.75,18.8,0.15,18.8,32,18.85,4,9.59
2618,6958873,2369,96042377,13.9,13.9,13.75,13.75,0.15,13.75,1837,13.8,1,12.61
2630,13000,9,243350,18.85,18.85,18.55,18.7,0.15,18.6,6,18.7,4,32.81
2633,4159049,2315,144164839,34.55,34.95,34.2,34.7,0.1,34.7,14,34.75,25,23.29
2634,961333,572,30574056,32.0,32.0,31.65,31.75,0.25,31.75,25,31.8,7,14.84
2636,80066,55,1879551,23.6,23.6,23.4,23.45,0.1,23.45,2,23.5,10,8.78
2637,1860288,547,56604419,30.4,30.55,30.25,30.55,0.15,30.5,1,30.55,102,7.79
2642,171000,113,4829850,28.3,28.35,28.1,28.25,0.0,28.2,111,28.25,11,23.16
2701,80130,45,1037318,12.9,13.0,12.9,13.0,0.1,12.9,68,13.0,3,14.29
2702,186501,87,3295516,18.0,18.0,17.5,17.5,0.45,17.5,10,17.6,3,46.05
2704,75340,58,1627409,21.75,21.75,21.55,21.55,0.15,21.55,10,21.65,15,19.41
2705,725098,305,5493524,7.59,7.61,7.55,7.61,0.01,7.6,70,7.62,4,0.0
2706,205521,62,3089111,14.95,15.2,14.95,15.0,0.1,15.0,19,15.05,6,13.39
2707,197740,208,31098420,158.0,158.0,157.0,157.5,0.5,157.0,15,157.5,62,15.1
2712,3000,3,162400,54.0,54.2,54.0,54.2,0.6,52.9,1,55.0,1,0.0
2722,5848,7,150112,24.8,26.2,24.8,26.15,1.0,24.85,2,26.15,1,56.85
2723,780884,659,115043388,150.0,150.5,145.5,146.5,3.5,146.0,7,146.5,14,22.33
2727,263865,197,20028308,76.3,76.3,75.7,75.8,0.8,75.8,2,76.1,3,17.88
2731,59500,52,4514950,76.1,76.3,75.7,75.7,0.1,75.7,2,76.0,6,34.57
2739,8000,5,199400,25.05,25.05,24.7,24.9,0.2,24.75,4,24.9,2,22.43
2748,35000,27,2007500,57.5,57.6,57.2,57.3,0.3,57.2,7,57.3,1,16.37
2801,5046931,1666,109314179,21.65,21.75,21.6,21.6,0.1,21.6,167,21.65,52,17.56
2809,1124216,700,34721246,31.0,31.05,30.75,30.75,0.3,30.75,44,30.85,1,26.74
2812,3745043,1553,44035456,11.75,11.8,11.7,11.75,0.0,11.75,893,11.8,559,9.87
2816,87000,28,1680900,19.35,19.35,19.25,19.25,0.1,19.25,8,19.35,4,6.53
2820,888277,572,13313055,15.05,15.05,14.9,14.95,0.1,14.95,83,15.0,11,16.08
2823,4851085,2688,118069390,24.4,24.5,24.2,24.2,0.1,24.2,491,24.3,72,9.49
2832,163209,27,3305081,20.25,20.3,20.2,20.3,0.05,20.2,96,20.3,4,13.36
2834,13020029,3725,162942755,12.55,12.6,12.45,12.45,0.15,12.45,2113,12.5,538,11.22
2836,320918,117,3069651,9.6,9.6,9.56,9.56,0.02,9.56,70,9.57,5,15.67
2838,674965,362,7091573,10.6,10.6,10.45,10.45,0.1,10.45,144,10.5,6,10.45
2838A,28188,14,1550440,55.0,55.1,54.9,55.1,0.0,54.9,72,55.1,41,0.0
2841,1160692,327,9894208,8.57,8.57,8.5,8.52,0.07,8.52,22,8.53,49,18.52
2845,2271825,966,27053900,12.0,12.0,11.85,11.9,0.1,11.9,14,11.95,228,9.67
2849,34445,30,516434,14.95,15.05,14.95,14.95,0.0,14.9,60,14.95,2,11.16
2850,115403,78,4387281,38.1,38.1,37.9,38.0,0.1,37.95,1,38.0,2,8.72
2851,108400,36,1961050,18.1,18.1,18.05,18.05,0.1,18.05,33,18.1,14,10.37
2852,89213,33,1259103,14.2,14.2,14.1,14.15,0.05,14.1,5,14.15,30,10.48
2855,895169,254,11633982,13.05,13.1,12.95,12.95,0.15,12.95,176,13.0,10,13.92
2867,2585396,654,27236823,10.6,10.6,10.5,10.5,0.1,10.5,100,10.55,31,0.0
2880,8864607,3740,186544640,21.05,21.1,21.0,21.1,0.1,21.05,11,21.1,1531,15.51
2881,7547574,3580,333857094,44.55,44.65,43.9,43.9,0.4,43.9,117,44.0,4,11.43
2881A,51198,52,3327709,65.0,65.1,64.8,65.1,0.1,64.9,1,65.1,5,0.0
2881B,89954,21,5756756,64.0,64.0,63.9,64.0,0.0,63.9,5,64.0,20,0.0
2882,8143111,2841,330238847,40.5,40.7,40.45,40.55,0.05,40.5,599,40.55,128,11.69
2882A,1525433,73,97197223,63.7,63.8,63.6,63.8,0.1,63.7,203,63.8,81,0.0
2882B,84214,27,5364088,63.6,63.8,63.6,63.8,0.1,63.6,3,63.8,69,0.0
