證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
8271,79312,81,2491407,31.55,31.55,31.3,31.45,0.05,31.4,10,31.45,1,10.45
8341,143069,129,39034296,273.5,274.0,271.5,271.5,2.0,271.5,19,273.5,9,33.19
8367,81000,55,1892500,23.95,23.95,22.85,23.65,0.4,23.5,10,23.65,13,14.08
8374,112211,62,2389665,21.4,21.4,21.15,21.35,0.0,21.35,2,21.4,13,88.96
8404,109452,87,4653574,42.55,42.8,42.35,42.35,0.55,42.35,17,42.6,2,38.15
8411,156798,64,2517737,16.25,16.35,15.9,15.9,0.65,15.9,4,16.0,3,0.0
8422,128614,120,19644742,153.5,153.5,152.0,153.0,0.5,153.0,1,153.5,14,14.13
8427,3000,2,116050,38.65,38.7,38.65,38.7,0.4,39.4,1,39.5,2,35.83
8429,102111,90,1351466,13.2,13.25,13.15,13.25,0.05,13.2,15,13.25,4,8.13
8442,7000,3,397700,56.8,56.9,56.8,56.8,0.1,56.2,1,56.7,2,13.59
8443,14816,21,164187,11.25,11.25,11.0,11.05,0.05,11.05,2,11.1,1,0.0
8454,64163,64,16330228,256.0,256.0,253.0,253.0,4.0,253.0,4,254.0,1,24.83
8462,194007,178,45216640,236.0,236.0,231.0,234.0,0.5,233.0,2,234.0,1,28.54
8463,2065633,621,67466530,32.0,32.75,31.95,32.75,2.95,32.75,5110,,0,51.98
8464,490489,459,129478382,266.0,267.0,262.5,262.5,5.5,262.5,6,263.0,3,19.27
8466,22005,19,1604964,73.1,73.1,72.8,72.9,0.4,72.8,5,73.2,2,11.15
8467,15050,16,854390,56.4,57.0,56.4,56.9,0.7,56.7,2,57.0,5,19.96
8473,112831,110,6426867,57.0,57.1,56.8,57.0,0.0,56.9,3,57.0,64,23.65
8478,142185,124,6979190,47.5,49.85,47.5,49.65,1.8,49.6,1,49.65,3,17.24
8480,73180,46,9410630,128.5,129.0,128.0,129.0,1.5,128.0,15,129.0,2,17.22
8481,4000,4,233200,58.2,58.5,58.2,58.2,0.0,58.2,2,58.8,1,17.22
8482,31000,15,3986000,130.0,130.0,128.0,128.5,1.5,127.5,12,128.5,1,13.57
8488,12000,10,201250,16.75,17.05,16.65,16.9,0.0,16.7,6,16.95,5,0.0
8497,16002,17,766596,48.0,48.25,46.75,48.1,0.8,47.8,1,48.1,1,10.74
8499,629396,532,75913416,122.0,123.0,119.0,120.0,6.0,120.0,13,120.5,4,13.51
8926,1049308,650,30582391,29.3,29.4,29.0,29.0,0.3,29.0,266,29.05,2,18.47
8940,31015,9,388790,12.5,12.6,12.5,12.55,0.0,12.55,3,12.6,7,0.0
8996,206239,154,8230149,40.5,40.5,39.7,39.8,1.0,39.8,2,40.0,2,19.8
9103,215021,34,236753,1.11,1.12,1.09,1.11,0.0,1.1,134,1.11,5,0.0
910322,6000,5,126250,21.0,21.1,20.95,21.0,0.15,21.0,9,,0,0.0
910482,16748,5,4479,0.26,0.27,0.26,0.27,0.01,0.26,102,0.27,50,0.0
9105,878781,242,2209631,2.52,2.53,2.5,2.5,0.05,2.5,46,2.51,82,0.0
910861,1,1,8,,,,,0.0,8.24,5,8.32,1,0.0
9110,22000,6,38680,1.75,1.77,1.75,1.77,0.0,1.74,2,1.76,4,0.0
911608,439,1,390,,,,,0.0,0.8,2,0.85,2,0.0
911616,1170000,78,1006200,0.86,0.86,0.86,0.86,0.07,0.86,1253,,0,0.0
911622,0,0,0,,,,,0.0,5.84,4,6.3,1,0.0
911868,61201,14,62355,1.02,1.05,1.01,1.03,0.02,1.02,6,1.03,1,0.0
912000,2204,3,3989,1.82,1.82,1.8,1.8,0.02,1.8,10,1.82,3,0.0
912398,30108,10,103624,3.45,3.45,3.44,3.44,0.01,3.44,10,3.55,5,0.0
9136,38000,14,270090,7.11,7.19,7.09,7.11,0.0,7.07,1,7.11,3,0.0
9157,2818469,93,2048268,0.72,0.73,0.72,0.73,0.01,0.73,304,0.74,1560,0.0
9188,168000,29,539790,3.2,3.23,3.2,3.23,0.05,3.22,1,3.27,1,0.0
9802,2107161,1602,199216673,94.9,96.3,91.9,95.5,0.6,95.3,10,95.5,21,17.08
9902,65354,35,612938,9.39,9.41,9.32,9.41,0.0,9.41,36,9.46,5,26.89
9904,10272704,3827,405919348,39.0,39.7,38.95,39.7,0.7,39.65,32,39.7,321,9.15
9905,155000,96,3644000,23.6,23.6,23.5,23.5,0.1,23.5,21,23.55,5,16.21
9906,151286,109,2168537,14.8,14.8,14.0,14.2,0.6,14.15,1,14.25,10,0.0
9907,464330,145,5525827,11.9,11.95,11.85,11.85,0.1,11.85,100,11.9,12,24.69
9908,74000,66,2230200,30.15,30.25,30.1,30.15,0.05,30.15,3,30.2,1,19.84
9910,1643134,978,360894139,220.5,224.0,217.5,217.5,5.5,217.5,2,218.0,2,23.44
9911,206151,201,9275398,44.8,45.15,44.75,45.1,0.3,45.05,4,45.1,31,12.36
9912,21201,16,189788,8.9,9.0,8.9,8.9,0.1,8.9,2,9.0,1,0.0
9914,913189,649,149700898,166.5,167.0,162.5,162.5,4.5,162.5,36,163.5,2,22.02
9917,215432,217,18656733,86.9,86.9,86.4,86.4,0.5,86.4,10,86.7,2,18.04
9918,75,3,2594,,,,,0.0,34.4,2,34.7,4,26.62
9919,72001,22,745810,10.35,10.4,10.35,10.4,0.05,10.35,25,10.4,19,0.0
9921,919724,537,198843972,218.0,218.0,214.5,214.5,2.5,214.5,5,215.5,5,22.92
9924,80100,65,3526510,44.2,44.2,43.95,44.1,0.1,44.0,2,44.1,6,9.59
9925,51320,35,1916899,37.35,37.4,37.35,37.35,0.0,37.35,6,37.4,36,17.79
9926,1032,3,42199,40.9,40.9,40.9,40.9,0.0,40.9,6,41.45,2,19.95
9927,213780,96,6634507,31.2,31.2,30.95,31.15,0.0,31.05,1,31.2,21,22.57
9928,12125,15,62215,4.94,5.3,4.94,5.3,0.47,4.8,1,5.11,2,0.0
9929,19584,17,267150,13.6,13.9,13.5,13.8,0.05,13.7,2,13.9,8,0.0
9930,57000,43,2922900,51.1,51.5,51.1,51.1,0.1,51.1,3,51.5,12,14.12
9931,11000,10,389350,35.15,35.5,35.15,35.45,0.45,35.05,4,35.55,1,20.03
9933,657955,574,27426165,41.7,41.75,41.55,41.55,0.1,41.55,26,41.7,7,19.88
9934,185351,97,3041605,16.45,16.45,16.35,16.4,0.05,16.4,1,16.45,48,8.59
9935,8324758,4332,302703564,35.0,37.5,34.65,37.25,2.3,37.25,5,37.3,16,23.88
9937,9010,6,369411,41.0,41.0,41.0,41.0,0.05,41.0,5,41.15,8,17.15
9938,1106827,747,88129080,81.0,81.0,78.8,78.8,2.2,78.8,5,79.0,2,15.92
9939,617261,500,33063105,54.0,54.5,53.3,53.3,0.7,53.3,32,53.5,2,14.33
9940,251468,150,8018230,31.65,32.0,31.65,31.7,0.15,31.7,23,31.9,1,12.63
9941,451686,455,49131107,109.5,109.5,108.5,109.0,1.0,108.5,90,109.0,15,14.4
9941A,9000,4,486800,54.1,54.1,54.0,54.1,0.0,54.0,9,54.1,18,0.0
9942,28050,27,1965850,70.0,70.3,70.0,70.1,0.3,70.0,9,70.2,2,12.79
9943,173500,144,11642649,67.5,67.5,66.9,67.0,0.5,67.0,3,67.1,1,11.15
9944,27100,20,463055,17.2,17.2,17.0,17.1,0.1,16.95,2,17.1,1,0.0
9945,1460867,832,63455222,43.4,43.8,43.25,43.35,0.25,43.3,4,43.35,7,4.51
9946,388555,185,8682919,22.3,22.4,22.25,22.35,0.0,22.3,52,22.35,4,5.28
9955,2175392,1030,43870911,20.3,20.45,19.9,19.95,0.1,19.95,72,20.0,15,0.0
9958,5147728,2955,396510867,76.6,77.6,76.2,77.4,1.2,77.3,8,77.4,2,483.75
